year,city,country,avg_temp,Lagos Moving avg_temp,avg_temp,Global Moving Avg_temp,
1849,Lagos,Nigeria,25.98,,7.98,,
1850,Lagos,Nigeria,25.87,,7.9,,
1851,Lagos,Nigeria,26.1,,8.18,,
1856,Lagos,Nigeria,26.35,,8,,
1857,Lagos,Nigeria,25.45,,7.76,,
1858,Lagos,Nigeria,25.92,,8.1,,
1859,Lagos,Nigeria,26.18,25.98,8.25,8.02,
1860,Lagos,Nigeria,26.01,25.98,7.96,8.02,
1861,Lagos,Nigeria,25.95,25.99,7.85,8.01,
1862,Lagos,Nigeria,25.9,25.97,7.56,7.93,
1873,Lagos,Nigeria,26.46,25.98,8.35,7.98,
1874,Lagos,Nigeria,26.08,26.07,8.43,8.07,
1875,Lagos,Nigeria,25.82,26.06,7.86,8.04,
1876,Lagos,Nigeria,25.82,26.01,8.08,8.01,
1877,Lagos,Nigeria,26.35,26.05,8.54,8.10,
1878,Lagos,Nigeria,26.26,26.10,8.83,8.24,
1879,Lagos,Nigeria,25.67,26.07,8.17,8.32,
1880,Lagos,Nigeria,26.14,26.02,8.12,8.29,
1881,Lagos,Nigeria,26.39,26.06,8.27,8.27,
1882,Lagos,Nigeria,26.01,26.09,8.13,8.31,
1883,Lagos,Nigeria,26.42,26.18,7.98,8.29,
1884,Lagos,Nigeria,26.43,26.19,7.77,8.18,
1885,Lagos,Nigeria,26.01,26.15,7.92,8.05,
1886,Lagos,Nigeria,25.87,26.18,7.95,8.02,
1887,Lagos,Nigeria,25.09,26.03,7.91,7.99,
1888,Lagos,Nigeria,25.42,25.89,8.09,7.96,
1889,Lagos,Nigeria,25.34,25.80,8.32,7.99,
1890,Lagos,Nigeria,24.86,25.57,7.97,7.99,
1891,Lagos,Nigeria,25.29,25.41,8.02,8.03,
1892,Lagos,Nigeria,25.49,25.34,8.07,8.05,
1893,Lagos,Nigeria,25.67,25.31,8.06,8.06,
1894,Lagos,Nigeria,25.59,25.38,8.16,8.10,
1895,Lagos,Nigeria,25.92,25.45,8.15,8.11,
1896,Lagos,Nigeria,25.87,25.53,8.21,8.09,
1897,Lagos,Nigeria,26.29,25.73,8.29,8.14,
1898,Lagos,Nigeria,25.79,25.80,8.18,8.16,
1899,Lagos,Nigeria,26.31,25.92,8.4,8.21,
1900,Lagos,Nigeria,26.42,26.03,8.5,8.27,
1901,Lagos,Nigeria,26.53,26.16,8.54,8.32,
1902,Lagos,Nigeria,26.09,26.19,8.3,8.35,
1903,Lagos,Nigeria,25.68,26.16,8.22,8.35,
1904,Lagos,Nigeria,25.48,26.04,8.09,8.32,
1905,Lagos,Nigeria,26.16,26.10,8.23,8.33,
1906,Lagos,Nigeria,26.21,26.08,8.38,8.32,
1907,Lagos,Nigeria,25.96,26.02,7.95,8.24,
1908,Lagos,Nigeria,26.15,25.96,8.19,8.19,
1909,Lagos,Nigeria,26.08,25.96,8.18,8.18,
1910,Lagos,Nigeria,26.13,26.02,8.22,8.18,
1911,Lagos,Nigeria,25.72,26.06,8.18,8.19,
1912,Lagos,Nigeria,26.17,26.06,8.17,8.18,
1913,Lagos,Nigeria,26.65,26.12,8.3,8.17,
1914,Lagos,Nigeria,26.75,26.24,8.59,8.26,
1915,Lagos,Nigeria,26.81,26.33,8.59,8.32,
1916,Lagos,Nigeria,26.6,26.40,8.23,8.33,
1917,Lagos,Nigeria,26.96,26.52,8.02,8.30,
1918,Lagos,Nigeria,26.41,26.62,8.13,8.29,
